sex;age;race;marital-status;education;native-country;workclass;occupation;salary-class
Male;*;White;Never-married;Bachelors;United-States;*;Adm-clerical;<=50K
Male;*;White;Married-civ-spouse;Bachelors;United-States;*;Exec-managerial;<=50K
Male;*;White;Divorced;HS-grad;United-States;*;Handlers-cleaners;<=50K
Male;*;Black;Married-civ-spouse;11th;United-States;*;Handlers-cleaners;<=50K
Female;*;Black;Married-civ-spouse;Bachelors;Cuba;*;Prof-specialty;<=50K
Female;*;White;Married-civ-spouse;Masters;United-States;*;Exec-managerial;<=50K
Female;*;Black;Married-spouse-absent;9th;Jamaica;*;Other-service;<=50K
Male;*;White;Married-civ-spouse;HS-grad;United-States;*;Exec-managerial;>50K
Female;*;White;Never-married;Masters;United-States;*;Prof-specialty;>50K
Male;*;White;Married-civ-spouse;Bachelors;United-States;*;Exec-managerial;>50K
Male;*;Black;Married-civ-spouse;Some-college;United-States;*;Exec-managerial;>50K
Male;*;Asian-Pac-Islander;Married-civ-spouse;Bachelors;India;*;Prof-specialty;>50K
Female;*;White;Never-married;Bachelors;United-States;*;Adm-clerical;<=50K
Male;*;Black;Never-married;Assoc-acdm;United-States;*;Sales;<=50K
Male;*;Amer-Indian-Eskimo;Married-civ-spouse;7th-8th;Mexico;*;Transport-moving;<=50K
Male;*;White;Never-married;HS-grad;United-States;*;Farming-fishing;<=50K
Male;*;White;Never-married;HS-grad;United-States;*;Machine-op-inspct;<=50K
Male;*;White;Married-civ-spouse;11th;United-States;*;Sales;<=50K
Female;*;White;Divorced;Masters;United-States;*;Exec-managerial;>50K
Male;*;White;Married-civ-spouse;Doctorate;United-States;*;Prof-specialty;>50K
Female;*;Black;Separated;HS-grad;United-States;*;Other-service;<=50K
Male;*;Black;Married-civ-spouse;9th;United-States;*;Farming-fishing;<=50K
Male;*;White;Married-civ-spouse;11th;United-States;*;Transport-moving;<=50K
Female;*;White;Divorced;HS-grad;United-States;*;Tech-support;<=50K
Male;*;White;Married-civ-spouse;Bachelors;United-States;*;Tech-support;>50K
Male;*;White;Never-married;HS-grad;United-States;*;Craft-repair;<=50K
Male;*;White;Divorced;HS-grad;United-States;*;Exec-managerial;<=50K
Male;*;White;Married-civ-spouse;HS-grad;United-States;*;Craft-repair;<=50K
Male;*;White;Never-married;Assoc-acdm;United-States;*;Protective-serv;<=50K
Male;*;Black;Never-married;Some-college;United-States;*;Sales;<=50K
Male;*;White;Divorced;Bachelors;United-States;*;Exec-managerial;<=50K
Male;*;White;Married-civ-spouse;Some-college;United-States;*;Adm-clerical;<=50K
Male;*;Black;Married-civ-spouse;Some-college;United-States;*;Other-service;<=50K
Male;*;White;Never-married;11th;Puerto-Rico;*;Machine-op-inspct;<=50K
Male;*;White;Never-married;Some-college;United-States;*;Machine-op-inspct;<=50K
Female;*;White;Married-AF-spouse;HS-grad;United-States;*;Adm-clerical;<=50K
Male;*;White;Married-civ-spouse;Assoc-acdm;United-States;*;Prof-specialty;<=50K
Male;*;White;Married-civ-spouse;9th;United-States;*;Machine-op-inspct;<=50K
Male;*;White;Married-civ-spouse;Bachelors;United-States;*;Prof-specialty;<=50K
Male;*;White;Married-civ-spouse;Bachelors;United-States;*;Tech-support;<=50K
Female;*;White;Separated;HS-grad;United-States;*;Adm-clerical;<=50K
Male;*;White;Never-married;HS-grad;United-States;*;Handlers-cleaners;<=50K
Male;*;Black;Married-civ-spouse;Bachelors;United-States;*;Prof-specialty;>50K
Male;*;White;Married-civ-spouse;HS-grad;United-States;*;Machine-op-inspct;<=50K
Female;*;White;Divorced;Masters;United-States;*;Exec-managerial;<=50K
Male;*;White;Married-civ-spouse;Assoc-voc;United-States;*;Craft-repair;<=50K
Male;*;White;Never-married;Assoc-voc;United-States;*;Prof-specialty;<=50K
Female;*;Other;Married-civ-spouse;Some-college;United-States;*;Exec-managerial;<=50K
Female;*;White;Married-civ-spouse;Prof-school;Honduras;*;Prof-specialty;>50K
Male;*;White;Divorced;Bachelors;United-States;*;Exec-managerial;>50K
Male;*;White;Divorced;HS-grad;United-States;*;Exec-managerial;<=50K
Male;*;White;Married-civ-spouse;Some-college;United-States;*;Tech-support;>50K
Male;*;White;Married-civ-spouse;5th-6th;Mexico;*;Machine-op-inspct;<=50K
Male;*;White;Married-civ-spouse;Assoc-voc;Puerto-Rico;*;Other-service;<=50K
Male;*;White;Married-civ-spouse;HS-grad;United-States;*;Adm-clerical;<=50K
Male;*;White;Married-civ-spouse;HS-grad;United-States;*;Machine-op-inspct;<=50K
Male;*;White;Married-civ-spouse;Bachelors;United-States;*;Sales;<=50K
Male;*;White;Married-civ-spouse;HS-grad;United-States;*;Transport-moving;<=50K
Male;*;White;Married-civ-spouse;Doctorate;United-States;*;Prof-specialty;>50K
Male;*;White;Divorced;Some-college;United-States;*;Tech-support;<=50K
Male;*;White;Married-civ-spouse;HS-grad;United-States;*;Craft-repair;<=50K
Female;*;White;Divorced;Some-college;United-States;*;Adm-clerical;<=50K
Female;*;White;Married-civ-spouse;HS-grad;United-States;*;Adm-clerical;>50K
Male;*;White;Married-civ-spouse;Some-college;United-States;*;Exec-managerial;>50K
Male;*;White;Never-married;Some-college;United-States;*;Prof-specialty;<=50K
Female;*;Black;Separated;Bachelors;United-States;*;Sales;<=50K
Male;*;White;Married-civ-spouse;Bachelors;United-States;*;Sales;>50K
Male;*;White;Never-married;Some-college;United-States;*;Machine-op-inspct;<=50K
Male;*;White;Married-civ-spouse;Some-college;United-States;*;Prof-specialty;<=50K
Male;*;White;Never-married;HS-grad;Mexico;*;Other-service;<=50K
Male;*;White;Married-civ-spouse;Assoc-acdm;United-States;*;Adm-clerical;<=50K
Female;*;White;Never-married;11th;United-States;*;Other-service;<=50K
Male;*;White;Married-civ-spouse;7th-8th;United-States;*;Farming-fishing;<=50K
Male;*;White;Never-married;HS-grad;United-States;*;Sales;<=50K
Male;*;White;Married-civ-spouse;Bachelors;Cuba;*;Other-service;<=50K
Female;*;White;Married-civ-spouse;HS-grad;United-States;*;Other-service;<=50K
Male;*;White;Married-civ-spouse;HS-grad;United-States;*;Sales;<=50K
Female;*;White;Divorced;HS-grad;United-States;*;Craft-repair;>50K
Female;*;White;Divorced;HS-grad;United-States;*;Sales;<=50K
Male;*;White;Married-civ-spouse;HS-grad;United-States;*;Protective-serv;>50K
Male;*;White;Married-civ-spouse;Masters;United-States;*;Prof-specialty;<=50K
Male;*;White;Never-married;9th;United-States;*;Sales;<=50K
Female;*;White;Never-married;Doctorate;United-States;*;Prof-specialty;>50K
Male;*;White;Married-civ-spouse;Assoc-voc;United-States;*;Prof-specialty;<=50K
Female;*;White;Divorced;Some-college;United-States;*;Craft-repair;<=50K
Female;*;Black;Divorced;Some-college;United-States;*;Machine-op-inspct;<=50K
Male;*;White;Married-civ-spouse;Bachelors;United-States;*;Protective-serv;>50K
Male;*;White;Never-married;Some-college;United-States;*;Handlers-cleaners;<=50K
Male;*;White;Married-civ-spouse;Doctorate;United-States;*;Prof-specialty;>50K
